"","tweet_id","created_at","from","to","text"
"1","1755302413161107724","2024-02-07T18:48:01.000Z","43406123","2244551106","RT @GTFF_3544: In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…"
"2","1755295145266942035","2024-02-07T18:19:09.000Z","1144062096721637376","2244551106","RT @GTFF_3544: In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…"
"3","1755287849799229615","2024-02-07T17:50:09.000Z","229631599","885491956037689344","RT @UMD_GLU: Grad worker Ivy Lyons stands up and speaks out. ""We are WORKERS who are compensated for our LABOR just like any other!"" 
#coll…"
"4","1755279303405609316","2024-02-07T17:16:12.000Z","1419013260","1413434670","RT @KSUGradSchool: It's happening today! The MOST exciting 3-minutes of research. Come out and support participants all day, beginning at 9…"
"5","1755273851447943233","2024-02-07T16:54:32.000Z","37946986","727331959706423296","RT @RobertSecundus: apologies to those who've heard this story before, but my final year teaching for my university, we had a meeting about…"
"6","1755267810861670495","2024-02-07T16:30:32.000Z","56416028","885491956037689344","RT @UMD_GLU: Grad worker Ivy Lyons stands up and speaks out. ""We are WORKERS who are compensated for our LABOR just like any other!"" 
#coll…"
"7","1755265381776998825","2024-02-07T16:20:52.000Z","975827451296272384","2244551106","RT @GTFF_3544: In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…"
"8","1755263831411232908","2024-02-07T16:14:43.000Z","1694550731951640576","2244551106","RT @GTFF_3544: In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…"
"9","1755263709725827162","2024-02-07T16:14:14.000Z","65934237","1108888268","@gracabi Real test will be how new facts on the ground of private grad worker unionism reshape legal terrain. If a Trump NLRB reverses Columbia, will the thousands of private university grad workers just throw up their hands and say “oh well, I guess we can’t have a union anymore”? 3/end"
"10","1755242949011443996","2024-02-07T14:51:44.000Z","300910650","151010098","@jeffphilips1 Our Student Union President. OAU First class Economics graduate. @PaulAlaje"
"11","1755242949011443996","2024-02-07T14:51:44.000Z","300910650","456844208","@jeffphilips1 Our Student Union President. OAU First class Economics graduate. @PaulAlaje"
"12","1755230813736648909","2024-02-07T14:03:31.000Z","1225893066","2244551106","RT @GTFF_3544: In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…"
"13","1755228322382958903","2024-02-07T13:53:37.000Z","88735607","2244551106","RT @GTFF_3544: In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…"
"14","1755201498827399580","2024-02-07T12:07:02.000Z","1169138665320321030","727331959706423296","RT @RobertSecundus: apologies to those who've heard this story before, but my final year teaching for my university, we had a meeting about…"
"15","1755092897341505750","2024-02-07T04:55:29.000Z","1124150378231156736","2244551106","RT @GTFF_3544: In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…"
"16","1755081148760469821","2024-02-07T04:08:48.000Z","1104108075387179013","2244551106","RT @GTFF_3544: In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…"
"17","1755079252548940157","2024-02-07T04:01:16.000Z","827350579382849536","2244551106","RT @GTFF_3544: In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…"
"18","1755071463999029615","2024-02-07T03:30:19.000Z","1306503632083353602","1886858414","RT @KeanRegistrar: Undergraduate commencement takes place in 100 days. Cougars, you've got this! 

If you're graduating in 2024, stop by th…"
"19","1755052587563315201","2024-02-07T02:15:18.000Z","1209474866","1004821397938606081","RT @thehousered: believe that graduate employee union members have just as much right to express their opinions on any decision of their un…"
"20","1755046251349840255","2024-02-07T01:50:08.000Z","1048678307531841541","1354887897233539073","@willyGfoster @david_purucker @monroe_liam that's so super awesome!! I've found other student/labor history in my research, but didn't totally expect DSA to pop up.

My primary focus is from 1968-1974, and our faculty &amp; grad union formed in that time span, hoping to see if there's any forgotten labor history there!!"
"21","1755046251349840255","2024-02-07T01:50:08.000Z","1048678307531841541","1389075431182139402","@willyGfoster @david_purucker @monroe_liam that's so super awesome!! I've found other student/labor history in my research, but didn't totally expect DSA to pop up.

My primary focus is from 1968-1974, and our faculty &amp; grad union formed in that time span, hoping to see if there's any forgotten labor history there!!"
"22","1755046251349840255","2024-02-07T01:50:08.000Z","1048678307531841541","1611536561505697794","@willyGfoster @david_purucker @monroe_liam that's so super awesome!! I've found other student/labor history in my research, but didn't totally expect DSA to pop up.

My primary focus is from 1968-1974, and our faculty &amp; grad union formed in that time span, hoping to see if there's any forgotten labor history there!!"
"23","1755033594701947133","2024-02-07T00:59:50.000Z","8332612","931257110129729536","RT @NewWorldHominin: To refresh your memory... 

https://t.co/yWgiFvfFrG"
"24","1755023126725898341","2024-02-07T00:18:14.000Z","1595351371997396993","1319287761048723458","@MarioNawfal Israel has 260bn is federal reserves. They are a military superpower with free healthcare and free student education up to grad. 

USA has fuck all. Why does the USA need to give Israel more money?"
"25","1755007576725733446","2024-02-06T23:16:27.000Z","4014838512","14981648","RT @IBJIYONGI: 🎉🎉🎉🎉🎉

UNH graduate student workers poised to start union

“The cost of living is skyrocketing and the housing crisis contin…"
"26","1754996693190258834","2024-02-06T22:33:12.000Z","15949696","17762864","RT @mkazin: Wisdom from Harold Meyerson: Pro-Union Joe and Grad Student Misgivings https://t.co/h4L8N8NMXi"
"27","1754967105353777405","2024-02-06T20:35:38.000Z","970115109681967104","14981648","RT @IBJIYONGI: 🎉🎉🎉🎉🎉

UNH graduate student workers poised to start union

“The cost of living is skyrocketing and the housing crisis contin…"
"28","1754956773910306951","2024-02-06T19:54:35.000Z","825372921245863936","14981648","RT @IBJIYONGI: 🎉🎉🎉🎉🎉

UNH graduate student workers poised to start union

“The cost of living is skyrocketing and the housing crisis contin…"
"29","1754954714444185873","2024-02-06T19:46:24.000Z","3369826552","14981648","RT @IBJIYONGI: 🎉🎉🎉🎉🎉

UNH graduate student workers poised to start union

“The cost of living is skyrocketing and the housing crisis contin…"
"30","1754952212940308929","2024-02-06T19:36:27.000Z","933302672043724802","1502413220513988612","RT @SalisuAsibiti02: @KawuGarba @AbbaM_Abiyos Students should have reported him to University Authority through Student Union or Student Af…"
"31","1754952212940308929","2024-02-06T19:36:27.000Z","933302672043724802","2873574055","RT @SalisuAsibiti02: @KawuGarba @AbbaM_Abiyos Students should have reported him to University Authority through Student Union or Student Af…"
"32","1754952212940308929","2024-02-06T19:36:27.000Z","933302672043724802","1197104246069637120","RT @SalisuAsibiti02: @KawuGarba @AbbaM_Abiyos Students should have reported him to University Authority through Student Union or Student Af…"
"33","1754938829671125440","2024-02-06T18:43:16.000Z","304686852","14981648","RT @IBJIYONGI: 🎉🎉🎉🎉🎉

UNH graduate student workers poised to start union

“The cost of living is skyrocketing and the housing crisis contin…"
