"","tweet_id","created_at","from","to","text","num","num_b"
"1","1755302413161107724",2024-02-07,"43406123","2244551106","RT : In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…",5,1
"2","1755295145266942035",2024-02-07,"1144062096721637376","2244551106","RT : In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…",5,1
"3","1755287849799229615",2024-02-07,"229631599","885491956037689344","RT : Grad worker Ivy Lyons stands up and speaks out. ""We are WORKERS who are compensated for our LABOR just like any other!"" 
coll…",5,1
"4","1755279303405609316",2024-02-07,"1419013260","1413434670","RT : It's happening today! The MOST exciting 3-minutes of research. Come out and support participants all day, beginning at 9…",1,1
"5","1755273851447943233",2024-02-07,"37946986","727331959706423296","RT : apologies to those who've heard this story before, but my final year teaching for my university, we had a meeting about…",0,0
"6","1755267810861670495",2024-02-07,"56416028","885491956037689344","RT : Grad worker Ivy Lyons stands up and speaks out. ""We are WORKERS who are compensated for our LABOR just like any other!"" 
coll…",5,1
"7","1755265381776998825",2024-02-07,"975827451296272384","2244551106","RT : In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…",5,1
"8","1755263831411232908",2024-02-07,"1694550731951640576","2244551106","RT : In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…",5,1
"9","1755263709725827162",2024-02-07,"65934237","1108888268"," Real test will be how new facts on the ground of private grad worker unionism reshape legal terrain. If a Trump NLRB reverses Columbia, will the thousands of private university grad workers just throw up their hands and say “oh well, I guess we can’t have a union anymore”? 3/end",7,1
"10","1755242949011443996",2024-02-07,"300910650","151010098"," Our Student Union President. OAU First class Economics graduate. ",2,1
"11","1755242949011443996",2024-02-07,"300910650","456844208"," Our Student Union President. OAU First class Economics graduate. ",2,1
"12","1755230813736648909",2024-02-07,"1225893066","2244551106","RT : In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…",5,1
"13","1755228322382958903",2024-02-07,"88735607","2244551106","RT : In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…",5,1
"14","1755201498827399580",2024-02-07,"1169138665320321030","727331959706423296","RT : apologies to those who've heard this story before, but my final year teaching for my university, we had a meeting about…",0,0
"15","1755092897341505750",2024-02-07,"1124150378231156736","2244551106","RT : In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…",5,1
"16","1755081148760469821",2024-02-07,"1104108075387179013","2244551106","RT : In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…",5,1
"17","1755079252548940157",2024-02-07,"827350579382849536","2244551106","RT : In order to win our union's historic contract, we had to do historic organizing!

Read full thread🧵 👇 to learn more about GT…",5,1
"18","1755071463999029615",2024-02-07,"1306503632083353602","1886858414","RT : Undergraduate commencement takes place in 100 days. Cougars, you've got this! 

If you're graduating in 2024, stop by th…",0,0
"19","1755052587563315201",2024-02-07,"1209474866","1004821397938606081","RT : believe that graduate employee union members have just as much right to express their opinions on any decision of their un…",5,1
